student_id,lms_logins_weekly,login_trend_slope,avg_assignment_delay_days,attendance_percent,attendance_trend,sentiment_score,study_session_variability,burnout_risk_level,dropout_probability
1,14,-0.691,0.08,93.25,-1.68,-0.214,0.373,Medium,0.292
2,11,-0.025,1.58,70.28,-1.022,0.358,0.346,Low,0.201
3,15,0.014,6.46,60.57,-7.27,0.333,0.348,Low,0.262
4,18,0.378,1.27,100.0,4.184,-0.14,0.369,Low,0.174
5,11,-1.093,2.45,100.0,1.101,-0.914,0.304,High,0.532
6,11,0.474,3.78,81.88,-1.535,0.939,0.189,Low,0.104
7,18,-2.164,3.83,67.3,-2.249,0.057,0.108,High,0.483
8,15,-0.504,1.83,89.63,-0.991,-0.358,0.351,Medium,0.334
9,10,-0.391,4.88,78.92,1.434,0.337,0.084,Low,0.215
10,14,0.507,1.24,78.87,-3.784,0.302,0.37,Low,0.175
11,10,0.018,5.49,88.94,-0.283,0.039,0.487,Low,0.199
12,10,-1.124,0.69,83.34,3.541,0.274,0.166,Medium,0.273
13,13,-0.788,0.82,68.14,-2.268,-0.378,0.343,Medium,0.439
14,4,0.159,0.14,76.75,0.161,0.58,0.517,Low,0.16
15,5,-0.063,3.97,86.61,4.407,-0.298,0.055,Low,0.265
16,10,-0.463,1.35,85.1,1.264,-0.103,0.172,Medium,0.252
17,8,-0.385,0.65,82.62,0.252,0.524,0.139,Low,0.164
18,13,0.557,0.66,89.33,1.013,0.802,0.216,Low,0.076
19,8,-0.414,5.79,76.38,-0.802,0.993,0.365,Low,0.19
20,6,-0.07,4.49,81.79,2.599,0.728,0.435,Low,0.156
21,18,1.736,2.02,50.0,-0.799,0.038,0.05,Low,0.278
22,11,-1.139,2.39,75.5,-3.918,-0.571,0.266,High,0.515
23,12,-1.481,1.61,87.64,-0.783,0.903,0.05,Medium,0.236
24,6,0.627,1.24,76.1,-1.933,0.885,0.64,Low,0.149
25,10,-0.543,6.18,75.34,-0.562,-0.136,0.636,Medium,0.368
26,12,-0.255,0.34,69.59,-0.518,0.661,0.214,Low,0.184
27,7,-0.625,1.36,90.03,2.395,0.034,0.076,Medium,0.213
28,14,-0.208,1.06,85.48,1.391,0.951,0.196,Low,0.099
29,10,1.279,1.72,88.25,0.527,-0.057,0.065,Low,0.168
30,11,0.642,1.53,62.74,-0.006,1.0,0.296,Low,0.158
31,10,0.69,1.83,78.4,-2.118,0.593,0.274,Low,0.144
32,19,-1.133,0.38,77.2,-4.362,1.0,0.414,Low,0.242
33,12,-0.921,1.8,77.19,0.226,-0.032,0.165,Medium,0.313
34,8,-2.271,0.69,73.84,1.589,0.403,0.158,High,0.425
35,15,-0.648,0.51,76.54,-0.217,-0.285,0.163,Medium,0.351
36,7,0.765,0.17,88.5,-1.07,0.622,0.15,Low,0.088
37,13,0.414,3.6,60.87,0.929,0.65,0.303,Low,0.21
38,4,-0.177,1.39,97.77,-0.167,1.0,0.38,Low,0.065
39,7,-0.018,2.46,84.84,3.371,0.441,0.362,Low,0.149
40,13,-0.551,3.25,79.58,2.465,0.562,0.464,Low,0.23
41,15,0.164,2.84,89.07,1.919,-0.035,0.327,Low,0.186
42,13,0.613,1.59,65.48,1.515,0.471,0.222,Low,0.194
43,12,-1.293,1.23,73.35,-2.58,0.01,0.574,Medium,0.387
44,11,0.24,1.18,78.79,1.326,0.258,0.36,Low,0.178
45,6,0.746,2.55,93.66,0.753,0.287,0.065,Low,0.11
46,9,-0.332,1.71,79.54,1.213,0.024,0.481,Medium,0.249
47,10,0.561,4.73,84.5,0.985,0.231,0.077,Low,0.16
48,16,2.252,5.19,74.1,0.906,0.012,0.155,Low,0.225
49,13,-0.083,0.47,84.87,5.402,0.01,0.432,Low,0.192
50,5,0.315,0.37,96.77,-0.152,0.738,0.234,Low,0.056
51,13,-0.59,2.49,89.96,1.873,0.288,0.128,Low,0.195
52,10,0.145,0.9,79.19,-0.942,0.374,0.191,Low,0.151
53,9,0.368,0.05,86.75,1.581,-0.529,0.456,Medium,0.334
54,14,0.156,5.49,85.78,1.879,0.412,0.154,Low,0.149
55,16,-0.816,0.64,85.07,0.729,0.465,0.19,Low,0.215
56,16,0.165,6.62,91.12,3.338,0.001,0.694,Medium,0.218
57,9,1.17,3.16,91.04,-1.769,1.0,0.232,Low,0.067
58,11,0.359,3.6,78.73,-0.974,-0.945,0.159,Medium,0.482
59,13,0.77,0.56,86.42,0.425,0.592,0.648,Low,0.139
60,16,-0.19,0.67,76.17,1.762,0.556,0.362,Low,0.177
61,10,0.6,1.84,70.77,0.359,0.471,0.507,Low,0.2
62,11,0.223,0.47,77.31,2.572,0.288,0.241,Low,0.167
63,8,-0.761,0.91,79.24,-1.323,0.475,0.34,Medium,0.241
64,7,0.255,0.97,63.38,-2.281,0.634,0.582,Low,0.21
65,15,-0.793,0.43,88.6,0.616,-0.163,0.464,Medium,0.313
66,17,-0.506,0.57,52.33,-0.154,0.35,0.368,Low,0.314
67,12,0.151,3.88,100.0,1.086,0.108,0.187,Low,0.123
68,16,0.238,0.46,95.02,-0.055,-0.347,0.267,Low,0.239
69,13,-0.951,0.07,77.39,-0.68,0.559,0.386,Medium,0.259
70,9,0.843,2.48,80.09,-0.15,-0.082,0.188,Low,0.217
71,13,0.458,9.32,83.03,0.058,-0.549,0.183,Medium,0.385
72,18,-0.564,1.01,74.11,-0.61,-0.07,0.437,Medium,0.31
73,12,-1.23,0.32,81.93,-0.406,-0.199,0.435,Medium,0.394
74,18,-0.116,2.11,78.56,-0.807,0.714,0.258,Low,0.146
75,2,-0.357,5.92,79.06,1.713,0.277,0.148,Low,0.228
76,15,0.091,3.83,81.81,0.388,0.891,0.521,Low,0.134
77,12,-0.29,2.44,66.86,4.514,-0.133,0.347,Medium,0.323
78,11,-1.606,0.95,80.4,0.321,0.637,0.143,Medium,0.304
79,12,-0.311,1.95,81.63,-1.102,1.0,0.682,Low,0.162
80,4,-0.244,0.24,81.29,5.341,0.378,0.411,Low,0.185
81,11,0.507,2.84,77.84,0.827,0.631,0.147,Low,0.138
82,13,-0.559,3.23,91.38,1.98,0.547,0.158,Low,0.168
83,18,1.343,8.38,76.46,1.184,-0.511,0.171,Medium,0.389
84,10,-1.529,0.75,82.27,1.246,0.493,0.336,Medium,0.316
85,9,1.049,0.05,92.97,1.071,0.353,0.164,Low,0.099
86,10,-0.179,1.97,79.21,-2.204,0.07,0.35,Low,0.219
87,16,0.688,3.07,82.14,0.735,-0.242,0.358,Low,0.274
88,13,0.064,3.91,79.04,-2.65,0.547,0.13,Low,0.147
89,10,0.912,0.54,92.37,-0.349,-0.286,0.225,Low,0.228
90,14,-0.31,0.76,77.42,-1.451,1.0,0.2,Low,0.132
91,12,-0.879,1.8,92.83,0.715,0.257,0.246,Medium,0.227
92,16,1.136,1.0,78.96,0.668,-0.412,0.129,Low,0.306
93,9,-0.091,4.92,71.41,0.962,-0.057,0.175,Low,0.263
94,11,0.177,1.6,86.79,0.575,0.061,0.136,Low,0.155
95,10,0.988,4.02,76.95,-1.214,1.0,0.291,Low,0.124
96,6,-0.826,2.17,86.21,-0.522,-0.242,0.235,Medium,0.341
97,13,0.476,3.71,52.71,1.841,0.142,0.538,Low,0.306
98,13,-0.472,1.01,80.05,2.136,-0.069,0.523,Medium,0.285
99,12,-0.106,4.45,75.4,-2.294,0.45,0.29,Low,0.197
100,11,0.058,0.8,69.37,-3.062,-0.061,0.422,Low,0.255
101,6,-1.2,1.97,74.47,-1.454,-0.37,0.338,Medium,0.469
102,10,-0.623,0.6,74.26,2.09,0.102,0.126,Medium,0.259
103,11,1.081,1.61,79.52,2.43,0.05,0.209,Low,0.186
104,9,0.709,0.96,66.33,-1.849,-0.096,0.252,Low,0.264
105,11,-0.05,0.78,83.16,0.615,-0.069,0.317,Low,0.209
106,14,0.194,8.53,93.66,3.669,0.792,0.259,Low,0.111
107,20,-0.235,0.44,82.81,0.831,0.04,0.388,Low,0.21
108,13,1.085,3.87,88.09,2.843,-0.367,0.151,Low,0.28
109,13,-0.16,10.0,90.95,1.997,-0.031,0.571,Medium,0.257
110,12,0.185,0.05,92.36,-1.82,0.227,0.345,Low,0.127
111,4,0.917,3.0,98.7,-0.38,-0.468,0.41,Medium,0.289
112,12,-0.622,0.73,75.01,0.07,1.0,0.072,Low,0.166
113,12,1.247,0.1,72.82,0.208,0.634,0.334,Low,0.154
114,22,-1.224,1.29,87.83,1.833,0.915,0.58,Medium,0.243
115,11,1.304,6.84,87.08,0.817,0.396,0.157,Low,0.154
116,13,-0.298,0.03,87.76,-5.872,-0.847,0.319,Medium,0.448
117,12,-0.194,2.22,98.89,-2.626,0.968,0.287,Low,0.064
118,7,-1.512,1.74,80.11,-4.375,-0.232,0.252,High,0.437
119,17,-0.364,5.17,84.26,0.351,-0.191,0.266,Medium,0.299
120,15,-0.832,0.22,70.2,0.481,0.278,0.092,Medium,0.275
121,15,-0.486,2.86,100.0,0.566,0.889,0.377,Low,0.113
122,8,-0.11,2.85,76.63,-1.918,0.727,0.162,Low,0.147
